Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Gini,Time_sec
LogisticRegression,0.72,0.7916666666666666,0.8142857142857143,0.8028169014084506,0.752857142857143,0.505714285714286,0.37781310081481934
NaiveBayes,0.445,0.8372093023255814,0.2571428571428571,0.3934426229508196,0.6936309523809523,0.3872619047619046,0.004029989242553711
KNN,0.705,0.7547169811320755,0.8571428571428571,0.8026755852842811,0.7019642857142857,0.4039285714285714,0.002993345260620117
DecisionTree,0.66,0.7769230769230769,0.7214285714285714,0.7481481481481482,0.619047619047619,0.23809523809523792,0.00776362419128418
RandomForest,0.755,0.782608695652174,0.9,0.8372093023255814,0.7510119047619048,0.5020238095238096,0.19893455505371094
SVM_Linear,0.725,0.8014184397163121,0.8071428571428572,0.804270462633452,0.7610714285714286,0.5221428571428572,0.13298654556274414
SVM_RBF,0.765,0.7924528301886793,0.9,0.842809364548495,0.7696428571428572,0.5392857142857144,0.11926531791687012
Bagging_SVM,0.77,0.7974683544303798,0.9,0.8456375838926175,0.7671428571428571,0.5342857142857143,0.5394036769866943
ExtraTree,0.685,0.7583892617449665,0.8071428571428572,0.7820069204152248,0.6035714285714285,0.20714285714285707,0.0028727054595947266
AdaBoost,0.705,0.7872340425531915,0.7928571428571428,0.7900355871886121,0.7242857142857142,0.4485714285714284,0.1957547664642334
XGBoost,0.76,0.8026315789473685,0.8714285714285714,0.8356164383561644,0.7520238095238095,0.5040476190476191,0.0834648609161377
LightGBM,0.755,0.8053691275167785,0.8571428571428571,0.8304498269896193,0.7685714285714286,0.5371428571428571,0.0879666805267334
CatBoost,0.775,0.8064516129032258,0.8928571428571429,0.8474576271186439,0.7792857142857142,0.5585714285714285,1.9414176940917969
