"class","installment_commitment","residence_since","age","existing_credits","duration","credit_amount","checking_status<0","checking_status>=200","checking_status0<=X<200","checking_statusno checking","credit_historycritical/other existing credit","credit_historydelayed previously","credit_historyexisting paid","credit_historyno credits/all paid","purposedomestic appliance","purposeeducation","purposefurniture/equipment","purposenew car","purposeother","purposeradio/tv","purposerepairs","purposeretraining","purposeused car","savings_status>=1000","savings_status100<=X<500","savings_status500<=X<1000","savings_statusno known savings","employment>=7","employment1<=X<4","employment4<=X<7","employmentunemployed","personal_statusmale div/sep","personal_statusmale mar/wid","personal_statusmale single","other_partiesguarantor","other_partiesnone","property_magnitudelife insurance","property_magnitudeno known property","property_magnitudereal estate","other_payment_plansnone","other_payment_plansstores","housingown","housingrent","jobskilled","jobunemp/unskilled non res","jobunskilled resident","own_telephoneyes","foreign_workeryes"
1,-0.869748133587142,1.04646305414177,-0.851181704518719,-0.714620600264712,0.347898958053073,1.08904713962373,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
0,-0.869748133587142,1.04646305414177,0.589438940988184,3.70753657959118,1.47835861054072,2.20894552222344,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1
1,0.918017814176768,-1.67162280077192,-0.671104123830356,-0.714620600264712,0.347898958053073,-0.765886359006342,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
1,0.0241348402948129,1.04646305414177,1.57986563477418,-0.714620600264712,0.347898958053073,-0.0988052708867283,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0.918017814176768,1.04646305414177,0.229283779611458,1.05424227167764,-0.782560694434573,-0.402398034773927,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0,0.0241348402948129,-0.765594182467357,-0.400987752797812,-0.714620600264712,2.04358843678454,1.69486101334442,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,-0.869748133587142,0.140434435837207,-0.491026543141994,1.05424227167764,0.536308900134348,2.20894552222344,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
1,-0.869748133587142,-0.765594182467357,-1.39141444658381,-0.714620600264712,-0.782560694434573,-0.88887800582209,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1
1,0.918017814176768,1.04646305414177,-1.03125928520708,-0.714620600264712,1.47835861054072,-0.332900896052761,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
1,-1.7636311074691,-0.765594182467357,0.0492061989230953,-0.714620600264712,-1.3477905206784,-0.766800795042147,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1
