"age","watch_hours","last_login_days","monthly_fee","churned","number_of_profiles","avg_watch_time_per_day","genderFemale","genderMale","genderOther","subscription_typePremium","subscription_typeStandard","regionAsia","regionEurope","regionNorth America","regionOceania","regionSouth America","deviceLaptop","deviceMobile","deviceTablet","deviceTV","payment_methodCrypto","payment_methodDebit Card","payment_methodGift Card","payment_methodPayPal","favorite_genreComedy","favorite_genreDocumentary","favorite_genreDrama","favorite_genreHorror","favorite_genreRomance","favorite_genreSci-Fi"
51,14.73,29,8.99,1,1,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
47,0.7,19,13.99,1,5,0.03,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
27,16.32,10,13.99,0,2,1.48,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
53,4.51,12,17.99,1,2,0.35,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
56,1.89,13,13.99,1,2,0.13,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
58,13.8,26,13.99,0,3,0.51,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
48,13.83,20,8.99,0,5,0.66,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
51,14.3,56,8.99,1,1,0.25,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
45,9.98,10,8.99,0,3,0.91,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
32,2.22,34,17.99,1,1,0.06,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
26,15.42,36,17.99,0,4,0.42,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
28,22.26,38,13.99,0,5,0.57,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
47,7.92,23,13.99,0,1,0.33,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
49,5.26,33,8.99,1,3,0.15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
39,10.97,10,8.99,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
32,40.94,7,17.99,0,1,5.12,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,1.25,13,17.99,1,3,0.09,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
